"","{#status->#S}"
"0.0","0.9999"
"0.1","0.9998974815948882"
"0.2","0.9998949251511249"
"0.30000000000000004","0.9998923300946151"
"0.4","0.9998896958426138"
"0.5","0.9998870218035943"
"0.6000000000000001","0.9998843073771184"
"0.7000000000000001","0.9998815519537009"
"0.8","0.9998787549146744"
"0.9","0.9998759156320517"
"1.0","0.9998730334683853"
"1.1","0.9998701077766258"
"1.2000000000000002","0.9998671378999777"
"1.3","0.9998641231717533"
"1.4000000000000001","0.9998610629152234"
"1.5","0.9998579564434679"
"1.6","0.9998548030592219"
"1.7000000000000002","0.9998516020547213"
"1.8","0.9998483527115446"
"1.9000000000000001","0.9998450543004533"
"2.0","0.9998417060812304"
"2.1","0.9998383073025143"
"2.2","0.9998348572016331"
"2.3000000000000003","0.9998313550044345"
"2.4000000000000004","0.9998277999251137"
"2.5","0.9998241911660385"
"2.6","0.999820527917573"
"2.7","0.9998168093578969"
"2.8000000000000003","0.9998130346528229"
"2.9000000000000004","0.9998092029556123"
"3.0","0.9998053134067861"
"3.1","0.9998013651339348"
"3.2","0.9997973572515247"
"3.3000000000000003","0.9997932888607014"
"3.4000000000000004","0.9997891590490903"
"3.5","0.9997849668905939"
"3.6","0.9997807114451878"
"3.7","0.9997763917587106"
"3.8000000000000003","0.9997720068626539"
"3.9000000000000004","0.9997675557739467"
"4.0","0.9997630374947383"
"4.1000000000000005","0.999758451012177"
"4.2","0.9997537952981854"
"4.3","0.9997490693092345"
"4.4","0.9997442719861103"
"4.5","0.9997394022536817"
"4.6000000000000005","0.9997344590206614"
"4.7","0.9997294411793651"
"4.800000000000001","0.9997243476054668"
"4.9","0.9997191771577496"
"5.0","0.9997139286778544"
"5.1000000000000005","0.9997086009900235"
"5.2","0.9997031929008413"
"5.300000000000001","0.9996977031989709"
"5.4","0.9996921306548864"
"5.5","0.999686474020602"
"5.6000000000000005","0.9996807320293964"
"5.7","0.9996749033955346"
"5.800000000000001","0.9996689868139828"
"5.9","0.9996629809601217"
"6.0","0.999656884489456"
"6.1000000000000005","0.999650696037316"
"6.2","0.9996444142185588"
"6.300000000000001","0.9996380376272631"
"6.4","0.9996315648364201"
"6.5","0.9996249943976194"
"6.6000000000000005","0.9996183248407308"
"6.7","0.9996115546735811"
"6.800000000000001","0.999604682381627"
"6.9","0.9995977064276218"
"7.0","0.9995906252512785"
